
2025/03/29 (13:11:55) | ===> btop++ v.1.4.0
2025/03/29 (13:11:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (13:34:18) | ===> btop++ v.1.4.0
2025/03/29 (13:34:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (20:41:07) | ===> btop++ v.1.4.0
2025/04/04 (20:41:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/04 (20:42:00) | ===> btop++ v.1.4.0
2025/04/04 (20:42:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (20:13:45) | ===> btop++ v.1.4.0
2025/04/08 (20:13:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (21:13:46) | ===> btop++ v.1.4.0
2025/04/08 (21:13:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/08 (21:13:57) | WARNING: Failed to join _runner thread on exit!

2025/04/08 (21:27:34) | ===> btop++ v.1.4.0
2025/04/08 (21:27:34) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/08 (21:28:01) | WARNING: Failed to join _runner thread on exit!

2025/04/09 (22:38:36) | ===> btop++ v.1.4.0
2025/04/09 (22:38:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:26:05) | ===> btop++ v.1.4.0
2025/04/19 (20:26:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:27:12) | ===> btop++ v.1.4.0
2025/04/19 (20:27:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:35:09) | ===> btop++ v.1.4.0
2025/04/19 (20:35:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:35:26) | ===> btop++ v.1.4.0
2025/04/19 (20:35:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:35:44) | ===> btop++ v.1.4.0
2025/04/19 (20:35:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:37:10) | ===> btop++ v.1.4.0
2025/04/19 (20:37:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:37:51) | ===> btop++ v.1.4.0
2025/04/19 (20:37:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:39:08) | ===> btop++ v.1.4.0
2025/04/19 (20:39:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:39:28) | ===> btop++ v.1.4.0
2025/04/19 (20:39:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:40:02) | ===> btop++ v.1.4.0
2025/04/19 (20:40:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:40:25) | ===> btop++ v.1.4.0
2025/04/19 (20:40:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:40:45) | ===> btop++ v.1.4.0
2025/04/19 (20:40:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:41:29) | ===> btop++ v.1.4.0
2025/04/19 (20:41:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:43:39) | ===> btop++ v.1.4.0
2025/04/19 (20:43:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:44:45) | ===> btop++ v.1.4.0
2025/04/19 (20:44:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:45:32) | ===> btop++ v.1.4.0
2025/04/19 (20:45:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:48:30) | ===> btop++ v.1.4.0
2025/04/19 (20:48:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:48:56) | ===> btop++ v.1.4.0
2025/04/19 (20:48:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:50:23) | ===> btop++ v.1.4.0
2025/04/19 (20:50:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/19 (20:50:48) | ===> btop++ v.1.4.0
2025/04/19 (20:50:48) | WARNING: Intel GPU: Failed to initialize PMU
